Nazwisko aktualne,Liczba
NOWAK,98387
KOWALSKI,66589
WIŚNIEWSKI,53079
WÓJCIK,47734
KOWALCZYK,46994
KAMIŃSKI,45818
LEWANDOWSKI,44466
ZIELIŃSKI,43931
WOŹNIAK,42550
SZYMAŃSKI,42412
DĄBROWSKI,41552
KOZŁOWSKI,36244
MAZUR,34576
JANKOWSKI,33109
KWIATKOWSKI,31900
WOJCIECHOWSKI,31551
KRAWCZYK,30308
KACZMAREK,29820
PIOTROWSKI,29304
GRABOWSKI,27980
ZAJĄC,26873
PAWŁOWSKI,26710
KRÓL,26554
MICHALSKI,26027
WRÓBEL,24717
WIECZOREK,24202
JABŁOŃSKI,24017
MAJEWSKI,23644
NOWAKOWSKI,23620
OLSZEWSKI,23249
DUDEK,22654
JAWORSKI,22584
MALINOWSKI,22567
STĘPIEŃ,22508
ADAMCZYK,22435
GÓRSKI,21803
PAWLAK,21721
SIKORA,21643
NOWICKI,21600
WITKOWSKI,21225
RUTKOWSKI,21069
BARAN,20918
WALCZAK,20882
MICHALAK,20290
OSTROWSKI,20177
SZEWCZYK,20041
TOMASZEWSKI,19259
ZALEWSKI,19000
WRÓBLEWSKI,18692
PIETRZAK,18427
JASIŃSKI,18386
DUDA,18272
MARCINIAK,18116
SADOWSKI,18029
BĄK,17954
ZAWADZKI,17942
JAKUBOWSKI,17817
WILK,17374
CHMIELEWSKI,17130
BORKOWSKI,16854
WŁODARCZYK,16740
SOKOŁOWSKI,16509
SZCZEPAŃSKI,16419
SAWICKI,16367
LIS,16310
KUCHARSKI,15727
KALINOWSKI,15571
WYSOCKI,15489
MAZUREK,15397
KUBIAK,15324
MACIEJEWSKI,15318
KOŁODZIEJ,14881
KAŹMIERCZAK,14527
CZARNECKI,14425
KRUPA,13866
SOBCZAK,13851
KONIECZNY,13849
GŁOWACKI,13651
KOZAK,13597
MRÓZ,13589
URBAŃSKI,13510
ZAKRZEWSKI,13425
KRAJEWSKI,13390
WASILEWSKI,13358
LASKOWSKI,13261
SIKORSKI,13199
ZIÓŁKOWSKI,13070
GAJEWSKI,12999
MAKOWSKI,12956
SZULC,12953
KACZMARCZYK,12758
BARANOWSKI,12693
BRZEZIŃSKI,12673
PRZYBYLSKI,12529
JANIK,12477
KANIA,12463
SZYMCZAK,12428
ADAMSKI,12405
BOROWSKI,12403
BŁASZCZYK,12322
GÓRECKI,12236
SZCZEPANIAK,12222
KOZIOŁ,11991
CHOJNACKI,11983
LESZCZYŃSKI,11967
LIPIŃSKI,11955
MUCHA,11945
ANDRZEJEWSKI,11889
KOWALEWSKI,11883
CZERWIŃSKI,11849
WESOŁOWSKI,11773
MIKOŁAJCZYK,11752
ZIĘBA,11635
JAROSZ,11600
CIEŚLAK,11457
MARKOWSKI,11386
KOWALIK,11370
MUSIAŁ,11347
KOŁODZIEJCZYK,11180
KOPEĆ,11105
BRZOZOWSKI,11067
PIĄTEK,11003
NOWACKI,10988
ŻAK,10882
DOMAŃSKI,10875
PAWLIK,10836
ORŁOWSKI,10833
KOT,10812
KUREK,10801
KRUK,10746
TOMCZYK,10733
WÓJTOWICZ,10712
CIESIELSKI,10709
TOMCZAK,10695
WAWRZYNIAK,10532
POLAK,10454
WOLSKI,10377
MARKIEWICZ,10245
SOWA,10215
STASIAK,10034
JASTRZĘBSKI,9973
KARPIŃSKI,9972
STANKIEWICZ,9937
URBANIAK,9915
PIASECKI,9752
KLIMEK,9741
CZAJKOWSKI,9681
WIERZBICKI,9668
ŁUCZAK,9666
NAWROCKI,9660
GAJDA,9570
BIELECKI,9433
DZIEDZIC,9430
BEDNAREK,9373
MADEJ,9370
STEFAŃSKI,9365
MILEWSKI,9298
JANICKI,9249
KOWAL,9192
SKIBA,9185
SOSNOWSKI,9178
LEŚNIAK,9170
URBAN,9105
MAJ,9081
JÓŹWIAK,9053
MAJCHRZAK,9016
SOCHA,8887
MAREK,8881
ŚLIWIŃSKI,8876
MAŁECKI,8867
BEDNARCZYK,8861
DOMAGAŁA,8802
KASPRZAK,8664
DOBROWOLSKI,8656
WRONA,8625
PAJĄK,8547
MICHALIK,8540
MATUSZEWSKI,8515
RATAJCZAK,8473
OLEJNICZAK,8348
ŚWIĄTEK,8348
ORZECHOWSKI,8347
WILCZYŃSKI,8278
RYBAK,8263
ROMANOWSKI,8252
KUROWSKI,8234
ROGOWSKI,8116
OLEJNIK,8115
ŁUKASIK,8109
MAZURKIEWICZ,8101
BUKOWSKI,8067
GRZELAK,8053
SROKA,8029
OWCZAREK,7984
SOBOLEWSKI,7967
KOSIŃSKI,7881
KĘDZIERSKI,7863
BARAŃSKI,7840
ZYCH,7833
BEDNARZ,7777
MARSZAŁEK,7739
SOBCZYK,7648
MATUSIAK,7629
MARCINKOWSKI,7623
SKOWROŃSKI,7612
LISOWSKI,7588
CHRZANOWSKI,7581
ŚWIDERSKI,7571
KOZIEŁ,7555
KASPRZYK,7513
BIAŁEK,7501
BEDNARSKI,7481
KUCZYŃSKI,7406
WITEK,7391
PLUTA,7384
CHMIEL,7360
CZAJKA,7359
KWIECIEŃ,7357
GRZYBOWSKI,7348
PALUCH,7329
JANISZEWSKI,7313
TUREK,7309
MUSZYŃSKI,7289
MARCZAK,7279
JĘDRZEJEWSKI,7271
MORAWSKI,7263
MAŁEK,7217
CZAJA,7168
ŻUKOWSKI,7119
ŚLIWA,7113
RAK,7112
MARZEC,7109
KACZOR,7101
PIEKARSKI,7086
KUBICKI,7076
CZECH,7040
SZCZĘSNY,7000
PRZYBYSZ,6971
OSIŃSKI,6960
GOŁĘBIEWSKI,6953
KRZEMIŃSKI,6916
STEFANIAK,6907
JANOWSKI,6904
BIERNACKI,6883
KULESZA,6872
BANACH,6842
LECH,6833
SERAFIN,6818
SMOLIŃSKI,6813
SZYDŁOWSKI,6782
MICHAŁOWSKI,6765
LEWICKI,6762
KUJAWA,6761
GÓRA,6745
STANISZEWSKI,6717
CIEŚLIK,6711
DROZD,6708
RUDNICKI,6701
KACPRZAK,6699
MURAWSKI,6693
DĘBSKI,6676
POPŁAWSKI,6659
STACHOWIAK,6646
PIETRZYK,6632
ŻUREK,6573
GÓRKA,6568
PIĄTKOWSKI,6566
NIEMIEC,6550
BANAŚ,6542
GÓRNY,6531
ZAWADA,6527
KARCZEWSKI,6516
MATYSIAK,6516
ŻURAWSKI,6513
PODGÓRSKI,6503
SOWIŃSKI,6495
KLIMCZAK,6463
MELNYK,6442
GOŁĘBIOWSKI,6441
CZYŻ,6431
ROSIŃSKI,6405
BIENIEK,6357
GODLEWSKI,6343
KUŚ,6314
AUGUSTYNIAK,6286
KRAWIEC,6285
GRUSZKA,6271
GROCHOWSKI,6242
SKRZYPCZAK,6242
PTAK,6229
PANEK,6197
GIL,6172
PRZYBYŁA,6137
RÓŻAŃSKI,6122
KULIK,6109
KONOPKA,6098
WINIARSKI,6096
ZAREMBA,6064
KOMOROWSKI,6062
SIWEK,6025
SŁOWIK,6015
CYBULSKI,5989
SZCZEPANIK,5970
LEŚNIEWSKI,5952
GRZYB,5943
KŁOS,5907
KRZYŻANOWSKI,5891
MŁYNARCZYK,5872
ZARZYCKI,5866
MIELCZAREK,5862
CICHOŃ,5856
GRACZYK,5855
TOKARSKI,5832
KACZYŃSKI,5801
STAŃCZYK,5800
MIKOŁAJCZAK,5798
BUCZEK,5790
SZOSTAK,5761
CICHOCKI,5740
WĘGRZYN,5738
BIERNAT,5717
SZYMCZYK,5717
JUREK,5712
STRZELECKI,5688
SZCZYGIEŁ,5685
SKOWRON,5676
BARTKOWIAK,5671
JANUS,5663
BOGUSZ,5641
GĄSIOR,5627
MAĆKOWIAK,5627
CIEŚLA,5625
FILIPIAK,5619
GAWRON,5605
KUCHARCZYK,5587
KUBIK,5544
KALETA,5529
KOSTRZEWA,5527
KULA,5521
NIEWIADOMSKI,5517
BAGIŃSKI,5500
JANIAK,5497
KSIĄŻEK,5496
SIENKIEWICZ,5492
RAKOWSKI,5479
RZEPKA,5471
GAWLIK,5458
PAŁKA,5425
ZARĘBA,5407
RÓŻYCKI,5383
FRĄCZEK,5377
MALEC,5364
ANTCZAK,5362
BARTCZAK,5362
TRZCIŃSKI,5324
ŻEBROWSKI,5292
ROGALSKI,5277
MIKULSKI,5257
DŁUGOSZ,5252
BANASIAK,5247
KRÓLIKOWSKI,5232
HAJDUK,5228
ROGALA,5200
ROJEK,5198
LACH,5190
BOREK,5166
TKACZYK,5157
KISIEL,5145
STEC,5142
GRZEGORCZYK,5128
DOBOSZ,5116
GAWROŃSKI,5108
RYBICKI,5081
TROJANOWSKI,5079
WĄSIK,5063
MALISZEWSKI,5059
ŚLUSARCZYK,5055
RADOMSKI,5021
WOLNY,5017
WITCZAK,5015
MIKA,5012
ZABOROWSKI,4990
KMIECIK,4978
LIPSKI,4967
WALKOWIAK,4948
PAWELEC,4919
GRZESIAK,4913
BIAŁAS,4910
FRĄCKOWIAK,4895
SOKÓŁ,4891
KARWOWSKI,4884
BOGUCKI,4875
WNUK,4872
GAŁĄZKA,4867
KACZOROWSKI,4863
BOCHENEK,4855
FRANKOWSKI,4836
ZYGMUNT,4829
ŻMUDA,4828
CICHY,4817
