Anna	1 063 768
Piotr	682 519
Krzysztof	631 900
Katarzyna	602 474
Małgorzata	572 067
Maria	566 957
Agnieszka	544 968
Tomasz	533 223
Andrzej	513 751
Paweł	502 078
Michał	492 336
Ewa	469 822
Barbara	467 697
Jan	462 517
Marcin	447 274
Magdalena	434 120
Jakub	433 698
Elżbieta	404 679
Joanna	401 861
Adam	400 579
Aleksandra	390 150
Krystyna	383 140
Łukasz	382 274
Mateusz	377 594
Monika	376 774
Grzegorz	369 675
Marek	369 242
Zofia	360 470
Stanisław	348 830
Wojciech	335 544
Natalia	320 225
Julia	314 543
Teresa	312 053
Karolina	295 015
Marta	289 125
Danuta	286 032
Mariusz	283 708
Dariusz	279 484
Beata	278 457
Maciej	267 060
Dorota	266 291
Rafał	260 328
Robert	256 984
Alicja	254 751
Kamil	251 238
Zbigniew	249 852
Szymon	244 933
Dawid	239 947
Jolanta	233 614
Kacper	232 132
Hanna	231 670
Zuzanna	231 508
Iwona	230 870
Jacek	227 193
Halina	226 656
Paulina	224 212
Grażyna	223 100
Jerzy	222 479
Jadwiga	218 462
Justyna	216 299
Wiktoria	209 097
Bartosz	205 155
Janina	198 471
Artur	198 352
Irena	196 353
Bożena	194 754
Ryszard	189 302
Maja	188 665
Józef	188 007
Jarosław	187 945
Tadeusz	186 094
Sebastian	186 065
Renata	185 837
Agata	184 481
Damian	183 842
Sylwia	181 946
Sławomir	180 911
Patryk	180 230
Urszula	180 127
Antoni	176 690
Filip	176 647
Roman	174 384
Mirosław	173 239
Janusz	173 146
Daniel	171 998
Patrycja	169 497
Oliwia	166 405
Karol	165 862
Emilia	165 172
Przemysław	165 034
Aleksander	162 904
Izabela	159 119
Helena	155 762
Weronika	151 666
Aneta	151 255
Henryk	150 313
Adrian	149 555
Ewelina	148 020
Martyna	143 238
Mikołaj	141 544
Franciszek	140 924
Klaudia	139 055
Gabriela	137 276
Dominik	136 526
Lena	134 386
Kazimierz	132 529
Arkadiusz	132 300
Wiesław	130 136
Amelia	129 844
Marzena	128 745
Bartłomiej	126 070
Dominika	123 336
Kinga	121 584
Marian	119 128
Wiktor	117 937
Edyta	113 456
Kamila	111 680
Krystian	111 179
Leszek	108 443
Marianna	106 305
Alina	104 161
Radosław	103 469
Waldemar	102 455
Wiesława	100 971
Stanisława	100 184
Igor	96 340
Hubert	90 840
Bogdan	90 622
Konrad	90 373
Daria	89 857
Wanda	88 112
Zdzisław	85 323
Marcel	82 949
Laura	82 462
Lidia	81 723
Mariola	81 131
Oskar	80 962
Nikola	79 453
Milena	78 513
Lucyna	77 658
Nikodem	77 530
Maksymilian	75 331
Antonina	73 899
Edward	72 938
Wioletta	72 214
Mieczysław	69 281
Leon	68 927
Miłosz	68 195
Mirosława	67 643
Angelika	64 883
Władysław	64 365
Oliwier	62 186
Olga	61 489
Michalina	60 713
Czesław	59 053
Ireneusz	57 371
Bogusław	56 772
Maksym	56 052
Nadia	55 631
Eugeniusz	55 466
Ilona	55 357
Sandra	54 776
Witold	54 261
Kornelia	54 209
Pola	53 481
Alan	53 224
Bogumiła	52 928
Ignacy	52 804
Liliana	52 511
Sylwester	52 342
Stefan	52 091
Iga	51 511
Łucja	50 643
Nina	50 363
Marcelina	50 257
Kazimiera	49 361
Marlena	48 612
Cezary	48 176
Gabriel	47 642
Zygmunt	46 240
Anita	45 974
Bogusława	45 946
Sabina	45 672
Jagoda	45 493
Julian	45 080
Tymon	43 890
Genowefa	43 627
Włodzimierz	43 304
Henryka	42 996
Tymoteusz	40 741
Regina	39 499
Józefa	39 367
Stefania	39 291
Norbert	39 260
Aniela	38 898
Zenon	38 796
Diana	38 389
Karina	37 856
Fabian	36 577
Adrianna	35 484
Czesława	34 388
Sara	34 342
Błażej	33 134
Klara	32 842
Władysława	32 515
Roksana	32 148
Bohdan	31 880
Maryna	31 850
Dagmara	31 830
Malwina	30 966
Eryk	30 271
Emil	29 690
Eliza	29 641
Blanka	28 489
Kaja	28 474
Róża	27 758
Żaneta	27 030
Anastazja	26 005
Natan	24 937
Cecylia	24 431
Zdzisława	23 939
Rozalia	23 505
Ksawery	23 269
Bernadeta	22 382
Julita	21 916
Borys	21 901
Lech	21 602
Leokadia	21 060
Nela	20 806
Aldona	20 683
Olaf	19 961
Wacław	19 710
Bronisław	19 427
Remigiusz	19 397
Matylda	19 259
Kajetan	19 041
Eugenia	18 840
Bronisława	18 693
Bruno	18 543
Magda	18 399
Daniela	18 238
Larysa	18 014
Aurelia	17 536
Celina	17 524
Bernard	16 769
Bolesław	16 700
Adriana	16 635
Paula	15 840
Tobiasz	15 642
Honorata	15 459
